age,sex,marital,income,degree,happy,health
47.0,female,divorced,31144,high school,not too happy,fair
51.0,female,married,37372,high school,very happy,unanswered
26.0,female,married,68516,high school,pretty happy,unanswered
72.0,female,widowed,7474,less than high school,not too happy,fair
57.0,male,divorced,3737,high school,pretty happy,fair
50.0,male,never married,6229,high school,pretty happy,unanswered
55.0,male,married,56059,high school,not too happy,unanswered
53.0,female,divorced,56059,graduate,very happy,good
20.0,female,never married,17648,high school,pretty happy,good
27.0,male,divorced,11419,high school,very happy,good
66.0,male,married,9343,associate/junior college,very happy,fair
75.0,female,divorced,15572,associate/junior college,very happy,unanswered
37.0,male,never married,45678,high school,pretty happy,excellent
65.0,female,never married,37372,graduate,very happy,excellent
26.0,male,never married,37372,high school,pretty happy,good
53.0,female,married,68516,high school,pretty happy,fair
36.0,female,divorced,83050,bachelor's,pretty happy,unanswered
78.0,female,married,37372,high school,pretty happy,good
57.0,male,married,83050,bachelor's,very happy,good
28.0,male,married,56059,bachelor's,pretty happy,unanswered
44.0,male,married,9343,less than high school,not too happy,fair
28.0,male,married,45678,associate/junior college,very happy,unanswered
36.0,female,married,37372,high school,pretty happy,good
46.0,female,married,83050,bachelor's,pretty happy,unanswered
41.0,male,divorced,22839,high school,pretty happy,good
58.0,male,married,56059,high school,very happy,fair
34.0,female,married,45678,high school,pretty happy,unanswered
19.0,male,never married,31144,high school,pretty happy,good
32.0,female,married,68516,high school,pretty happy,good
61.0,female,married,56059,high school,pretty happy,fair
54.0,male,married,56059,high school,very happy,unanswered
34.0,female,married,83050,high school,not too happy,good
62.0,male,married,56059,high school,very happy,good
28.0,female,married,56059,graduate,very happy,unanswered
82.0,female,widowed,,less than high school,very happy,unanswered
51.0,female,married,68516,high school,pretty happy,fair
71.0,female,married,31144,bachelor's,very happy,good
34.0,female,married,83050,high school,very happy,unanswered
65.0,male,married,26991,high school,pretty happy,good
61.0,male,married,116270,high school,pretty happy,good
76.0,male,married,56059,high school,not too happy,fair
55.0,male,married,37372,high school,pretty happy,excellent
76.0,female,married,,high school,very happy,unanswered
67.0,male,married,31144,associate/junior college,very happy,excellent
41.0,male,divorced,19724,high school,pretty happy,good
49.0,male,married,83050,high school,pretty happy,excellent
45.0,male,divorced,22839,high school,pretty happy,fair
32.0,male,never married,68516,associate/junior college,very happy,good
38.0,male,divorced,37372,high school,pretty happy,good
60.0,male,married,56059,less than high school,pretty happy,unanswered
50.0,male,married,83050,associate/junior college,very happy,good
65.0,male,widowed,37372,high school,very happy,good
44.0,male,married,56059,high school,pretty happy,good
31.0,female,married,,less than high school,very happy,unanswered
54.0,male,married,56059,high school,pretty happy,unanswered
46.0,female,married,,graduate,pretty happy,unanswered
49.0,female,married,4568,high school,pretty happy,unanswered
52.0,female,married,37372,less than high school,pretty happy,fair
50.0,female,married,175621,graduate,pretty happy,good
32.0,female,married,56059,high school,pretty happy,unanswered
64.0,male,divorced,22839,high school,very happy,unanswered
78.0,female,widowed,45678,graduate,pretty happy,good
55.0,male,married,31144,high school,very happy,excellent
35.0,female,married,99660,bachelor's,pretty happy,unanswered
27.0,male,never married,175621,high school,very happy,good
50.0,female,separated,,high school,pretty happy,unanswered
53.0,male,married,56059,less than high school,not too happy,fair
47.0,male,married,56059,bachelor's,very happy,excellent
60.0,female,divorced,1661,less than high school,not too happy,unanswered
80.0,female,married,19724,high school,very happy,excellent
36.0,male,married,26991,high school,pretty happy,excellent
32.0,female,married,68516,graduate,very happy,good
30.0,male,married,22839,bachelor's,pretty happy,unanswered
41.0,female,never married,15572,bachelor's,very happy,fair
31.0,male,never married,56059,high school,pretty happy,unanswered
29.0,female,married,45678,high school,pretty happy,good
35.0,male,married,56059,bachelor's,very happy,good
51.0,female,married,22839,high school,very happy,poor
53.0,female,married,45678,high school,pretty happy,fair
22.0,female,married,37372,high school,very happy,excellent
80.0,female,widowed,45678,high school,pretty happy,fair
43.0,male,married,9343,high school,pretty happy,good
47.0,female,divorced,6229,high school,pretty happy,good
38.0,male,separated,5398,high school,pretty happy,good
49.0,female,divorced,9343,high school,very happy,unanswered
35.0,female,married,83050,high school,pretty happy,excellent
38.0,female,divorced,17648,associate/junior college,pretty happy,unanswered
67.0,male,married,19724,high school,very happy,unanswered
75.0,female,married,19724,graduate,pretty happy,unanswered
26.0,female,married,17648,high school,pretty happy,fair
52.0,female,never married,13496,high school,not too happy,poor
26.0,female,never married,31144,bachelor's,pretty happy,excellent
27.0,male,married,17648,bachelor's,pretty happy,good
33.0,male,married,,associate/junior college,very happy,excellent
21.0,male,never married,,high school,very happy,unanswered
69.0,female,married,26991,high school,very happy,fair
83.0,male,separated,22839,high school,pretty happy,good
61.0,female,married,175621,high school,very happy,excellent
34.0,male,divorced,99660,high school,pretty happy,unanswered
26.0,female,never married,56059,high school,very happy,unanswered
81.0,female,married,,high school,very happy,good
51.0,male,divorced,17648,less than high school,very happy,good
51.0,female,never married,19724,high school,pretty happy,unanswered
39.0,female,divorced,17648,high school,not too happy,fair
58.0,male,married,45678,bachelor's,pretty happy,unanswered
24.0,male,married,13496,high school,very happy,excellent
27.0,female,married,45678,associate/junior college,very happy,excellent
75.0,female,divorced,31144,associate/junior college,very happy,good
39.0,female,divorced,5398,high school,pretty happy,good
36.0,male,married,68516,bachelor's,pretty happy,unanswered
58.0,female,married,,graduate,pretty happy,good
64.0,male,widowed,56059,high school,very happy,unanswered
43.0,male,married,68516,high school,pretty happy,fair
51.0,male,married,99660,high school,very happy,excellent
35.0,female,never married,17648,high school,pretty happy,unanswered
37.0,male,never married,15572,high school,pretty happy,unanswered
56.0,female,married,,high school,pretty happy,good
55.0,female,divorced,37372,high school,pretty happy,excellent
64.0,male,never married,15572,bachelor's,very happy,unanswered
36.0,male,married,31144,less than high school,pretty happy,fair
68.0,male,divorced,22839,high school,very happy,unanswered
62.0,male,divorced,26991,high school,very happy,fair
82.0,female,widowed,13496,less than high school,very happy,unanswered
26.0,male,married,68516,associate/junior college,very happy,excellent
83.0,female,widowed,31144,bachelor's,very happy,excellent
70.0,female,married,31144,high school,pretty happy,good
49.0,female,married,37372,high school,not too happy,unanswered
89.0,male,married,83050,bachelor's,very happy,excellent
71.0,female,married,,less than high school,very happy,fair
43.0,female,married,37372,high school,pretty happy,fair
42.0,female,married,175621,graduate,very happy,good
20.0,male,never married,45678,high school,pretty happy,unanswered
50.0,female,divorced,83050,high school,not too happy,fair
36.0,female,married,56059,bachelor's,pretty happy,unanswered
21.0,male,never married,83050,high school,pretty happy,good
19.0,male,never married,56059,high school,pretty happy,fair
22.0,male,never married,15572,high school,not too happy,fair
37.0,female,married,83050,bachelor's,pretty happy,good
60.0,female,divorced,26991,high school,pretty happy,good
34.0,male,divorced,83050,high school,pretty happy,good
88.0,female,widowed,17648,high school,not too happy,unanswered
31.0,male,divorced,116270,bachelor's,pretty happy,good
79.0,male,married,17648,high school,very happy,good
31.0,female,never married,9343,high school,not too happy,unanswered
57.0,female,divorced,6229,less than high school,not too happy,poor
42.0,female,married,83050,bachelor's,very happy,excellent
81.0,female,widowed,11419,high school,pretty happy,good
39.0,female,married,,graduate,pretty happy,excellent
23.0,male,never married,45678,high school,pretty happy,excellent
30.0,female,married,56059,bachelor's,very happy,excellent
72.0,female,divorced,56059,bachelor's,not too happy,unanswered
35.0,female,married,175621,bachelor's,very happy,excellent
55.0,female,married,83050,bachelor's,not too happy,unanswered
53.0,female,never married,26991,high school,pretty happy,good
89.0,female,widowed,,high school,not too happy,fair
35.0,female,married,37372,graduate,pretty happy,excellent
75.0,female,widowed,19724,high school,pretty happy,unanswered
65.0,female,married,17648,high school,pretty happy,fair
70.0,female,widowed,26991,high school,pretty happy,fair
49.0,male,married,99660,high school,pretty happy,unanswered
60.0,female,married,68516,bachelor's,pretty happy,fair
42.0,female,married,68516,bachelor's,very happy,good
41.0,female,married,13496,less than high school,pretty happy,unanswered
38.0,male,married,56059,associate/junior college,very happy,fair
36.0,male,never married,56059,graduate,pretty happy,excellent
49.0,female,married,68516,associate/junior college,very happy,good
30.0,male,married,56059,high school,very happy,good
75.0,female,widowed,22839,less than high school,pretty happy,unanswered
21.0,female,never married,22839,high school,pretty happy,excellent
41.0,female,married,68516,associate/junior college,very happy,excellent
72.0,female,widowed,,high school,pretty happy,unanswered
78.0,female,married,22839,high school,very happy,unanswered
33.0,female,never married,31144,high school,pretty happy,good
30.0,female,married,83050,bachelor's,very happy,unanswered
29.0,female,never married,26991,high school,pretty happy,excellent
78.0,female,widowed,9343,less than high school,pretty happy,poor
47.0,female,separated,56059,bachelor's,pretty happy,good
19.0,male,never married,19724,high school,pretty happy,unanswered
80.0,female,widowed,,less than high school,pretty happy,fair
49.0,male,divorced,68516,high school,pretty happy,unanswered
54.0,female,married,83050,high school,very happy,unanswered
62.0,female,married,45678,graduate,not too happy,good
31.0,male,never married,66248,bachelor's,pretty happy,unanswered
23.0,female,never married,13049,bachelor's,not too happy,unanswered
71.0,female,divorced,17064,less than high school,not too happy,fair
82.0,female,widowed,7227,less than high school,not too happy,unanswered
78.0,female,married,,less than high school,very happy,poor
40.0,male,never married,9034,less than high school,pretty happy,unanswered
46.0,female,divorced,66248,associate/junior college,pretty happy,good
80.0,female,widowed,17064,associate/junior college,pretty happy,good
31.0,female,married,,high school,very happy,excellent
31.0,female,never married,44165,associate/junior college,pretty happy,unanswered
21.0,male,never married,36135,high school,pretty happy,good
58.0,male,married,80300,high school,pretty happy,excellent
36.0,female,separated,19071,high school,pretty happy,good
57.0,female,married,13049,less than high school,not too happy,unanswered
28.0,female,never married,3614,less than high school,very happy,fair
80.0,female,widowed,11041,associate/junior college,pretty happy,fair
84.0,female,widowed,,less than high school,pretty happy,unanswered
51.0,male,married,54202,high school,very happy,good
35.0,male,never married,66248,bachelor's,not too happy,unanswered
49.0,male,divorced,44165,high school,pretty happy,unanswered
56.0,male,married,80300,high school,very happy,excellent
88.0,female,never married,,less than high school,pretty happy,fair
23.0,female,never married,2810,less than high school,very happy,unanswered
35.0,female,married,152927,graduate,pretty happy,unanswered
26.0,female,never married,152927,bachelor's,pretty happy,excellent
21.0,female,never married,,high school,very happy,excellent
21.0,female,never married,4416,associate/junior college,pretty happy,unanswered
33.0,female,never married,54202,bachelor's,not too happy,good
53.0,female,divorced,152927,bachelor's,pretty happy,unanswered
63.0,female,married,,graduate,very happy,good
34.0,male,married,152927,graduate,pretty happy,good
75.0,male,widowed,,associate/junior college,not too happy,unanswered
78.0,female,married,,bachelor's,very happy,excellent
57.0,male,widowed,112420,high school,pretty happy,excellent
43.0,male,married,,graduate,very happy,unanswered
84.0,female,divorced,44165,bachelor's,very happy,excellent
53.0,male,married,112420,graduate,pretty happy,good
83.0,female,widowed,54202,high school,pretty happy,unanswered
69.0,male,married,152927,graduate,very happy,excellent
24.0,male,never married,15056,bachelor's,pretty happy,excellent
33.0,male,never married,54202,graduate,pretty happy,unanswered
23.0,female,never married,,high school,pretty happy,fair
25.0,male,never married,66248,graduate,pretty happy,unanswered
66.0,female,married,,graduate,very happy,unanswered
20.0,male,never married,17064,high school,pretty happy,unanswered
37.0,female,never married,66248,high school,pretty happy,poor
64.0,male,divorced,22082,high school,not too happy,fair
45.0,male,divorced,54202,high school,very happy,unanswered
40.0,female,married,,high school,very happy,unanswered
80.0,male,divorced,44165,bachelor's,pretty happy,fair
60.0,male,married,96360,high school,pretty happy,unanswered
49.0,male,married,152927,bachelor's,pretty happy,unanswered
22.0,female,never married,54202,bachelor's,pretty happy,good
63.0,female,married,96360,graduate,pretty happy,unanswered
72.0,male,divorced,11041,bachelor's,very happy,unanswered
42.0,female,divorced,80300,less than high school,not too happy,poor
54.0,female,married,152927,bachelor's,very happy,excellent
21.0,female,never married,17064,high school,pretty happy,unanswered
26.0,female,never married,26098,bachelor's,pretty happy,good
31.0,male,never married,54202,bachelor's,very happy,unanswered
41.0,female,never married,2810,associate/junior college,very happy,unanswered
84.0,female,widowed,,less than high school,very happy,unanswered
19.0,male,never married,,high school,pretty happy,good
34.0,male,married,,bachelor's,very happy,good
44.0,female,married,80300,bachelor's,very happy,excellent
45.0,male,married,44165,high school,pretty happy,unanswered
28.0,male,never married,402,high school,very happy,unanswered
46.0,male,married,13049,high school,pretty happy,unanswered
50.0,female,divorced,54202,high school,not too happy,unanswered
40.0,male,married,112420,high school,pretty happy,excellent
42.0,female,married,152927,graduate,very happy,good
19.0,female,never married,,less than high school,pretty happy,fair
53.0,male,divorced,36135,associate/junior college,pretty happy,good
39.0,female,divorced,36135,associate/junior college,pretty happy,unanswered
40.0,female,divorced,36135,bachelor's,not too happy,excellent
44.0,female,married,112420,high school,pretty happy,good
58.0,male,married,112420,high school,not too happy,good
46.0,male,married,54202,associate/junior college,not too happy,unanswered
66.0,female,divorced,96360,high school,not too happy,excellent
48.0,female,never married,152927,graduate,pretty happy,excellent
88.0,male,married,66248,high school,pretty happy,unanswered
45.0,female,married,54202,associate/junior college,very happy,excellent
38.0,male,never married,,high school,pretty happy,excellent
22.0,female,never married,9034,high school,pretty happy,unanswered
23.0,male,never married,96360,bachelor's,pretty happy,excellent
41.0,female,never married,80300,bachelor's,very happy,good
23.0,female,never married,13049,high school,pretty happy,fair
60.0,male,married,54202,high school,pretty happy,good
80.0,female,married,30112,less than high school,very happy,unanswered
56.0,female,married,30112,less than high school,pretty happy,fair
43.0,female,married,,bachelor's,unanswered,fair
31.0,female,never married,,bachelor's,not too happy,unanswered
24.0,female,never married,402,less than high school,not too happy,fair
39.0,female,married,112420,associate/junior college,very happy,good
20.0,male,never married,1606,less than high school,not too happy,unanswered
55.0,male,married,66248,bachelor's,pretty happy,good
45.0,female,married,,high school,pretty happy,excellent
50.0,male,married,,high school,pretty happy,good
69.0,female,married,66248,graduate,very happy,unanswered
50.0,female,widowed,54202,bachelor's,pretty happy,fair
31.0,male,married,1606,high school,pretty happy,fair
59.0,female,married,44165,high school,very happy,unanswered
50.0,female,never married,54202,high school,not too happy,fair
51.0,male,married,152927,bachelor's,very happy,unanswered
68.0,female,widowed,54202,high school,pretty happy,fair
61.0,male,separated,112420,graduate,pretty happy,excellent
50.0,female,married,,bachelor's,very happy,excellent
51.0,female,married,152927,bachelor's,pretty happy,excellent
43.0,female,married,152927,graduate,very happy,excellent
19.0,male,never married,66248,less than high school,pretty happy,unanswered
35.0,female,married,80300,bachelor's,not too happy,excellent
64.0,male,married,152927,graduate,pretty happy,good
44.0,female,divorced,,high school,not too happy,unanswered
40.0,male,never married,80300,graduate,very happy,excellent
59.0,male,never married,80300,bachelor's,pretty happy,excellent
36.0,male,married,54202,bachelor's,very happy,unanswered
65.0,female,divorced,,high school,very happy,excellent
46.0,female,never married,,graduate,pretty happy,unanswered
33.0,female,married,13049,high school,very happy,good
21.0,female,never married,19071,less than high school,pretty happy,unanswered
24.0,female,never married,54202,high school,very happy,unanswered
36.0,male,married,44165,less than high school,pretty happy,good
27.0,female,divorced,17064,associate/junior college,very happy,fair
32.0,female,married,80300,high school,very happy,good
68.0,male,divorced,,high school,pretty happy,good
63.0,male,married,54202,high school,pretty happy,good
80.0,female,married,,bachelor's,pretty happy,unanswered
72.0,male,married,80300,bachelor's,very happy,excellent
24.0,male,married,22082,less than high school,very happy,unanswered
37.0,female,married,,bachelor's,pretty happy,excellent
45.0,male,married,30112,less than high school,not too happy,good
52.0,male,separated,30112,less than high school,not too happy,unanswered
49.0,male,married,152927,graduate,not too happy,fair
42.0,male,married,44165,less than high school,pretty happy,unanswered
42.0,male,separated,17064,less than high school,pretty happy,unanswered
37.0,female,married,66248,high school,pretty happy,excellent
35.0,female,married,80300,high school,pretty happy,excellent
51.0,male,married,152927,high school,pretty happy,good
66.0,male,married,66248,graduate,pretty happy,fair
28.0,male,married,96360,high school,very happy,good
39.0,female,married,66248,high school,pretty happy,unanswered
47.0,male,married,152927,high school,very happy,excellent
48.0,male,married,152927,bachelor's,pretty happy,good
49.0,female,married,152927,graduate,pretty happy,unanswered
20.0,male,never married,96360,high school,pretty happy,unanswered
70.0,female,married,13049,less than high school,pretty happy,unanswered
42.0,male,never married,,less than high school,very happy,unanswered
35.0,male,never married,9034,less than high school,pretty happy,good
40.0,female,never married,26098,high school,pretty happy,fair
68.0,male,married,152927,graduate,not too happy,fair
34.0,male,married,,bachelor's,pretty happy,good
30.0,male,married,66248,high school,pretty happy,good
25.0,male,never married,26098,less than high school,pretty happy,unanswered
36.0,male,married,36135,less than high school,pretty happy,good
54.0,female,divorced,44165,high school,pretty happy,unanswered
58.0,male,married,,high school,pretty happy,unanswered
55.0,female,never married,19071,high school,not too happy,good
34.0,female,married,11041,less than high school,pretty happy,fair
29.0,male,never married,44165,bachelor's,pretty happy,fair
20.0,female,never married,11041,high school,not too happy,unanswered
41.0,female,divorced,36135,high school,very happy,excellent
40.0,female,separated,80300,graduate,pretty happy,unanswered
71.0,male,never married,66248,bachelor's,pretty happy,good
23.0,male,never married,19071,high school,pretty happy,unanswered
49.0,male,never married,13049,high school,not too happy,good
44.0,male,married,6022,associate/junior college,very happy,good
20.0,female,never married,36135,high school,pretty happy,unanswered
24.0,male,never married,5220,bachelor's,pretty happy,fair
29.0,male,never married,66248,high school,very happy,unanswered
56.0,female,married,152927,graduate,very happy,excellent
24.0,male,never married,44165,high school,not too happy,unanswered
60.0,male,married,44165,high school,pretty happy,good
52.0,male,married,,graduate,very happy,good
51.0,female,married,44165,high school,not too happy,unanswered
64.0,female,never married,26098,associate/junior college,pretty happy,excellent
23.0,female,never married,,high school,pretty happy,unanswered
46.0,male,married,96360,less than high school,very happy,good
34.0,male,married,80300,bachelor's,very happy,good
29.0,female,never married,13049,bachelor's,pretty happy,unanswered
28.0,female,never married,54202,graduate,pretty happy,good
39.0,female,never married,112420,associate/junior college,pretty happy,unanswered
33.0,male,married,66248,graduate,pretty happy,good
24.0,female,never married,19071,high school,not too happy,unanswered
34.0,female,divorced,11041,high school,pretty happy,poor
24.0,male,never married,11041,bachelor's,very happy,excellent
30.0,male,married,66248,bachelor's,very happy,excellent
25.0,male,never married,22082,bachelor's,pretty happy,unanswered
41.0,female,separated,80300,bachelor's,pretty happy,unanswered
37.0,male,married,80300,associate/junior college,pretty happy,unanswered
48.0,female,widowed,80300,bachelor's,pretty happy,excellent
28.0,male,never married,7227,high school,pretty happy,excellent
30.0,female,never married,80300,graduate,very happy,unanswered
34.0,female,never married,80300,graduate,pretty happy,good
67.0,male,married,152927,bachelor's,very happy,unanswered
64.0,female,married,96360,graduate,very happy,good
80.0,male,divorced,152927,graduate,pretty happy,unanswered
52.0,male,married,96360,high school,very happy,excellent
29.0,female,never married,44165,bachelor's,pretty happy,good
24.0,male,never married,,high school,pretty happy,fair
42.0,female,never married,80300,graduate,not too happy,good
89.0,female,divorced,,graduate,pretty happy,fair
61.0,female,widowed,,less than high school,pretty happy,unanswered
35.0,male,never married,26098,high school,not too happy,excellent
44.0,male,never married,36135,high school,pretty happy,unanswered
60.0,female,married,66248,high school,pretty happy,good
28.0,male,never married,402,high school,pretty happy,unanswered
27.0,male,never married,13049,bachelor's,not too happy,fair
38.0,male,married,112420,bachelor's,very happy,excellent
34.0,female,married,26098,bachelor's,pretty happy,good
18.0,female,never married,3614,less than high school,pretty happy,unanswered
35.0,female,married,402,less than high school,pretty happy,fair
29.0,female,separated,11041,high school,pretty happy,poor
32.0,female,married,6022,less than high school,pretty happy,unanswered
63.0,female,divorced,,graduate,pretty happy,unanswered
80.0,female,widowed,9034,high school,pretty happy,fair
52.0,male,never married,26098,graduate,pretty happy,unanswered
25.0,female,never married,36135,bachelor's,pretty happy,excellent
70.0,female,divorced,44165,high school,pretty happy,excellent
35.0,male,never married,152927,graduate,pretty happy,excellent
41.0,female,married,152927,bachelor's,pretty happy,good
24.0,female,never married,17064,bachelor's,pretty happy,good
60.0,male,married,152927,bachelor's,pretty happy,good
55.0,male,divorced,66248,high school,not too happy,excellent
23.0,male,never married,80300,high school,not too happy,good
68.0,female,widowed,96360,bachelor's,pretty happy,good
22.0,female,never married,,bachelor's,pretty happy,unanswered
58.0,male,married,44165,bachelor's,not too happy,poor
55.0,male,divorced,26098,graduate,pretty happy,excellent
75.0,male,married,54202,bachelor's,pretty happy,unanswered
66.0,male,divorced,152927,high school,pretty happy,fair
76.0,female,widowed,66248,high school,pretty happy,excellent
79.0,male,married,36135,high school,pretty happy,unanswered
29.0,female,married,80300,bachelor's,very happy,unanswered
60.0,female,divorced,66248,bachelor's,pretty happy,poor
36.0,female,married,112420,high school,very happy,good
75.0,male,married,96360,high school,very happy,good
48.0,female,married,54202,high school,pretty happy,good
35.0,female,married,66248,less than high school,pretty happy,unanswered
54.0,male,married,96360,high school,pretty happy,good
45.0,male,married,80300,high school,not too happy,fair
58.0,female,married,66248,bachelor's,pretty happy,excellent
46.0,female,married,80300,bachelor's,pretty happy,unanswered
36.0,female,married,44165,associate/junior college,pretty happy,good
58.0,female,divorced,22082,high school,very happy,good
40.0,female,divorced,36135,bachelor's,pretty happy,unanswered
44.0,female,married,36135,high school,very happy,good
59.0,male,married,66248,bachelor's,very happy,excellent
80.0,female,widowed,11041,high school,not too happy,unanswered
72.0,female,widowed,11041,high school,pretty happy,unanswered
76.0,female,married,22082,high school,pretty happy,fair
65.0,female,married,54202,high school,pretty happy,poor
43.0,female,married,54202,bachelor's,pretty happy,unanswered
73.0,female,widowed,66248,high school,pretty happy,unanswered
27.0,female,married,96360,high school,very happy,excellent
73.0,male,married,,bachelor's,very happy,unanswered
60.0,female,married,152927,graduate,very happy,excellent
42.0,female,divorced,36135,associate/junior college,pretty happy,good
51.0,male,never married,80300,graduate,pretty happy,unanswered
21.0,male,never married,,high school,pretty happy,unanswered
30.0,female,never married,6022,less than high school,not too happy,unanswered
45.0,female,married,44165,high school,pretty happy,unanswered
35.0,female,married,,high school,pretty happy,excellent
79.0,female,widowed,,high school,very happy,excellent
67.0,male,divorced,112420,graduate,pretty happy,fair
19.0,female,never married,152927,high school,pretty happy,unanswered
76.0,male,married,152927,bachelor's,pretty happy,good
70.0,female,widowed,152927,bachelor's,pretty happy,unanswered
60.0,male,divorced,152927,graduate,very happy,excellent
47.0,male,never married,22082,graduate,pretty happy,excellent
57.0,female,never married,44165,bachelor's,very happy,unanswered
75.0,female,widowed,44165,bachelor's,pretty happy,fair
43.0,male,married,112420,bachelor's,very happy,good
45.0,female,married,152927,bachelor's,very happy,unanswered
29.0,female,married,19071,high school,pretty happy,unanswered
38.0,male,married,11041,less than high school,very happy,good
25.0,female,married,36135,high school,not too happy,good
37.0,female,never married,152927,bachelor's,very happy,unanswered
63.0,female,divorced,26098,bachelor's,pretty happy,fair
62.0,male,married,80300,bachelor's,not too happy,unanswered
28.0,male,separated,44165,bachelor's,pretty happy,good
61.0,male,married,152927,bachelor's,pretty happy,excellent
47.0,male,married,152927,bachelor's,very happy,good
55.0,male,divorced,9034,associate/junior college,pretty happy,good
48.0,female,married,54202,high school,pretty happy,good
49.0,male,married,96360,high school,very happy,unanswered
20.0,male,never married,26098,high school,pretty happy,good
24.0,male,never married,2810,high school,pretty happy,fair
24.0,male,never married,1606,bachelor's,pretty happy,unanswered
26.0,female,never married,30112,high school,pretty happy,fair
27.0,male,never married,402,bachelor's,pretty happy,good
48.0,male,married,54202,graduate,very happy,good
54.0,female,divorced,112420,bachelor's,very happy,excellent
64.0,female,married,96360,graduate,very happy,unanswered
23.0,female,never married,402,high school,not too happy,fair
73.0,male,divorced,6022,high school,pretty happy,unanswered
30.0,male,married,36135,high school,pretty happy,unanswered
53.0,female,married,13049,high school,pretty happy,fair
39.0,male,divorced,44165,high school,pretty happy,unanswered
39.0,male,never married,22082,high school,not too happy,good
50.0,male,never married,44165,high school,very happy,unanswered
65.0,male,married,152927,graduate,not too happy,good
51.0,female,married,80300,high school,very happy,unanswered
29.0,male,never married,26098,high school,pretty happy,good
20.0,female,never married,15056,high school,pretty happy,fair
50.0,male,divorced,54202,less than high school,not too happy,fair
72.0,female,married,152927,high school,not too happy,good
68.0,male,married,66248,high school,not too happy,unanswered
41.0,male,married,,high school,pretty happy,excellent
63.0,male,married,66248,graduate,very happy,good
62.0,male,married,152927,bachelor's,very happy,unanswered
52.0,female,never married,11041,associate/junior college,pretty happy,excellent
39.0,female,married,96360,bachelor's,pretty happy,good
46.0,male,married,36135,less than high school,pretty happy,unanswered
19.0,male,never married,80300,less than high school,pretty happy,good
45.0,male,never married,36135,bachelor's,pretty happy,excellent
72.0,male,separated,22082,graduate,pretty happy,fair
77.0,female,widowed,9034,less than high school,pretty happy,unanswered
26.0,female,married,,high school,very happy,good
48.0,male,divorced,54202,graduate,pretty happy,excellent
65.0,male,married,36135,high school,pretty happy,unanswered
79.0,female,widowed,22082,high school,very happy,unanswered
82.0,male,divorced,,bachelor's,pretty happy,fair
51.0,male,never married,,high school,not too happy,unanswered
38.0,female,divorced,30112,bachelor's,pretty happy,excellent
46.0,female,never married,22082,high school,not too happy,good
47.0,male,never married,44165,high school,pretty happy,fair
40.0,female,never married,30112,high school,pretty happy,unanswered
56.0,male,divorced,66248,associate/junior college,pretty happy,unanswered
79.0,female,widowed,15056,high school,not too happy,excellent
43.0,female,married,26098,high school,very happy,excellent
37.0,female,never married,7227,less than high school,pretty happy,unanswered
30.0,female,never married,54202,high school,not too happy,excellent
29.0,male,never married,36135,less than high school,pretty happy,good
79.0,female,widowed,13049,high school,very happy,unanswered
71.0,male,married,19071,high school,very happy,poor
20.0,male,never married,54202,high school,very happy,unanswered
40.0,female,never married,44165,high school,pretty happy,good
27.0,male,never married,152927,high school,not too happy,good
85.0,female,widowed,6022,high school,not too happy,unanswered
62.0,female,married,44165,bachelor's,very happy,excellent
29.0,female,never married,30112,high school,pretty happy,fair
30.0,male,never married,5220,high school,pretty happy,unanswered
28.0,female,never married,36135,bachelor's,pretty happy,good
80.0,female,widowed,13049,high school,very happy,good
27.0,female,never married,54202,graduate,pretty happy,good
38.0,female,married,54202,less than high school,pretty happy,unanswered
35.0,female,married,44165,high school,very happy,good
32.0,male,never married,4416,less than high school,pretty happy,good
67.0,female,married,54202,graduate,very happy,unanswered
69.0,female,divorced,17064,high school,not too happy,good
55.0,male,divorced,,bachelor's,pretty happy,good
40.0,female,divorced,22082,high school,pretty happy,unanswered
81.0,male,never married,80300,graduate,pretty happy,unanswered
56.0,female,married,66248,associate/junior college,pretty happy,unanswered
19.0,male,never married,44165,high school,very happy,unanswered
25.0,female,never married,9034,graduate,pretty happy,excellent
27.0,male,never married,36135,bachelor's,pretty happy,excellent
18.0,male,never married,30112,less than high school,very happy,unanswered
35.0,female,never married,80300,graduate,very happy,poor
51.0,male,divorced,44165,high school,pretty happy,unanswered
19.0,female,never married,,less than high school,very happy,unanswered
50.0,male,divorced,,high school,not too happy,poor
53.0,female,married,96360,bachelor's,pretty happy,unanswered
53.0,female,divorced,5220,high school,pretty happy,excellent
67.0,male,divorced,11041,high school,pretty happy,unanswered
40.0,female,divorced,17064,high school,pretty happy,unanswered
59.0,male,never married,54202,bachelor's,pretty happy,good
54.0,female,married,9034,associate/junior college,very happy,good
55.0,male,married,54202,high school,pretty happy,unanswered
29.0,male,married,17064,high school,very happy,excellent
66.0,male,divorced,7227,associate/junior college,very happy,unanswered
77.0,male,divorced,,high school,pretty happy,excellent
43.0,male,never married,17064,high school,not too happy,excellent
45.0,female,married,13049,high school,very happy,fair
69.0,male,divorced,6022,less than high school,not too happy,unanswered
54.0,male,separated,26098,less than high school,pretty happy,good
46.0,female,married,36135,high school,very happy,excellent
40.0,male,divorced,17064,high school,not too happy,good
72.0,male,married,,less than high school,very happy,excellent
60.0,female,married,17064,high school,very happy,unanswered
81.0,male,married,30112,high school,pretty happy,fair
30.0,female,never married,54202,high school,pretty happy,unanswered
41.0,female,married,36135,bachelor's,very happy,unanswered
